INPUT	FOUND_BY	DTXSID	PREFERRED_NAME	CASRN	IUPAC_NAME	INCHI_STRING	DATA_SOURCES	QSAR_READY_SMILES
digoxin	Approved Name	DTXSID5022934	Digoxin	20830-75-5	(3beta,5beta,12beta)-3-{[2,6-Dideoxy-beta-D-ribo-hexopyranosyl-(1->4)-2,6-dideoxy-beta-D-ribo-hexopyranosyl-(1->4)-2,6-dideoxy-beta-D-ribo-hexopyranosyl]oxy}-12,14-dihydroxycard-20(22)-enolide	InChI=1S/C41H64O14/c1-19-36(47)28(42)15-34(50-19)54-38-21(3)52-35(17-30(38)44)55-37-20(2)51-33(16-29(37)43)53-24-8-10-39(4)23(13-24)6-7-26-27(39)14-31(45)40(5)25(9-11-41(26,40)48)22-12-32(46)49-18-22/h12,19-21,23-31,33-38,42-45,47-48H,6-11,13-18H2,1-5H3/t19-,20-,21-,23-,24+,25-,26-,27+,28+,29+,30+,31-,33+,34+,35+,36-,37-,38-,39+,40+,41+/m1/s1	67	CC1OC(CC(O)C1O)OC1C(O)CC(OC2C(O)CC(OC3CCC4(C)C(CCC5C4CC(O)C4(C)C(CCC54O)C4=CC(=O)OC4)C3)OC2C)OC1C
naringin	Approved Name	DTXSID6022478	Naringin	10236-47-2	(2S)-5-Hydroxy-2-(4-hydroxyphenyl)-4-oxo-3,4-dihydro-2H-1-benzopyran-7-yl 2-O-(6-deoxy-alpha-L-mannopyranosyl)-beta-D-glucopyranoside	InChI=1S/C27H32O14/c1-10-20(32)22(34)24(36)26(37-10)41-25-23(35)21(33)18(9-28)40-27(25)38-13-6-14(30)19-15(31)8-16(39-17(19)7-13)11-2-4-12(29)5-3-11/h2-7,10,16,18,20-30,32-36H,8-9H2,1H3/t10-,16-,18+,20-,21+,22+,23-,24+,25+,26-,27+/m0/s1	30	CC1OC(OC2C(O)C(O)C(CO)OC2OC2=CC(O)=C3C(=O)CC(OC3=C2)C2=CC=C(O)C=C2)C(O)C(O)C1O
progesterone	Approved Name	DTXSID3022370	Progesterone	57-83-0	Pregn-4-ene-3,20-dione	InChI=1S/C21H30O2/c1-13(22)17-6-7-18-16-5-4-14-12-15(23)8-10-20(14,2)19(16)9-11-21(17,18)3/h12,16-19H,4-11H2,1-3H3/t16-,17+,18-,19-,20-,21+/m0/s1	85	CC(=O)C1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C
butoconazole	Synonym	DTXSID2048537	Butaconazole	64872-76-0	1-{4-(4-Chlorophenyl)-2-[(2,6-dichlorophenyl)sulfanyl]butyl}-1H-imidazole	InChI=1S/C19H17Cl3N2S/c20-15-7-4-14(5-8-15)6-9-16(12-24-11-10-23-13-24)25-19-17(21)2-1-3-18(19)22/h1-5,7-8,10-11,13,16H,6,9,12H2	19	ClC1=CC=C(CCC(CN2C=CN=C2)SC2=C(Cl)C=CC=C2Cl)C=C1
biotin	Approved Name	DTXSID7022679	Biotin	58-85-5	5-[(3aS,4S,6aR)-2-Oxohexahydro-1H-thieno[3,4-d]imidazol-4-yl]pentanoic acid	InChI=1S/C10H16N2O3S/c13-8(14)4-2-1-3-7-9-6(5-16-7)11-10(15)12-9/h6-7,9H,1-5H2,(H,13,14)(H2,11,12,15)/t6-,7-,9-/m0/s1	61	OC(=O)CCCCC1SCC2NC(=O)NC12
cephaeline	NO_MATCH	-	-	-	-	-	-	-
velnacrine	Approved Name	DTXSID4046945	Velnacrine	104675-29-8	9-Amino-1,2,3,4-tetrahydroacridin-1-ol	InChI=1S/C13H14N2O/c14-13-8-4-1-2-5-9(8)15-10-6-3-7-11(16)12(10)13/h1-2,4-5,11,16H,3,6-7H2,(H2,14,15)	13	NC1=C2C=CC=CC2=NC2=C1C(O)CCC2
melatonin	Approved Name	DTXSID1022421	Melatonin	73-31-4	N-[2-(5-Methoxy-1H-indol-3-yl)ethyl]acetamide	InChI=1S/C13H16N2O2/c1-9(16)14-6-5-10-8-15-13-4-3-11(17-2)7-12(10)13/h3-4,7-8,15H,5-6H2,1-2H3,(H,14,16)	72	COC1=CC2=C(NC=C2CCNC(C)=O)C=C1
bisacodyl	Approved Name	DTXSID1022681	Bisacodyl	603-50-9	[(Pyridin-2-yl)methylene]di(4,1-phenylene) diacetate	InChI=1S/C22H19NO4/c1-15(24)26-19-10-6-17(7-11-19)22(21-5-3-4-14-23-21)18-8-12-20(13-9-18)27-16(2)25/h3-14,22H,1-2H3	48	CC(=O)OC1=CC=C(C=C1)C(C1=CC=C(OC(C)=O)C=C1)C1=NC=CC=C1
amiodarone	Approved Name	DTXSID7022592	Amiodarone	1951-25-3	(2-Butyl-1-benzofuran-3-yl){4-[2-(diethylamino)ethoxy]-3,5-diiodophenyl}methanone	InChI=1S/C25H29I2NO3/c1-4-7-11-22-23(18-10-8-9-12-21(18)31-22)24(29)17-15-19(26)25(20(27)16-17)30-14-13-28(5-2)6-3/h8-10,12,15-16H,4-7,11,13-14H2,1-3H3	50	CCCCC1=C(C(=O)C2=CC(I)=C(OCCN(CC)CC)C(I)=C2)C2=CC=CC=C2O1
neostigmine bromide	Approved Name	DTXSID9041075	Neostigmine bromide	114-80-7	3-[(Dimethylcarbamoyl)oxy]-N,N,N-trimethylanilinium bromide	InChI=1S/C12H19N2O2.BrH/c1-13(2)12(15)16-11-8-6-7-10(9-11)14(3,4)5;/h6-9H,1-5H3;1H/q+1;/p-1	29	CN(C)C(=O)OC1=CC=CC(=C1)[N+](C)(C)C
colecalciferol	Synonym from Valid Source	DTXSID6026294	Vitamin D3	67-97-0	(3S,5Z,7E)-9,10-Secocholesta-5,7,10-trien-3-ol	InChI=1S/C27H44O/c1-19(2)8-6-9-21(4)25-15-16-26-22(10-7-17-27(25,26)5)12-13-23-18-24(28)14-11-20(23)3/h12-13,19,21,24-26,28H,3,6-11,14-18H2,1-2,4-5H3/b22-12+,23-13-/t21-,24+,25-,26+,27-/m1/s1	57	CC(C)CCCC(C)C1CCC2\C(CCCC12C)=C\C=C1\CC(O)CCC1=C
pilocarpine	Approved Name	DTXSID1021162	Pilocarpine	92-13-7	(3S,4R)-3-Ethyl-4-[(1-methyl-1H-imidazol-5-yl)methyl]oxolan-2-one	InChI=1S/C11H16N2O2/c1-3-10-8(6-15-11(10)14)4-9-5-12-7-13(9)2/h5,7-8,10H,3-4,6H2,1-2H3/t8-,10-/m0/s1	46	CCC1C(CC2=CN=CN2C)COC1=O
carbimazole	Approved Name	DTXSID9022736	Carbimazole	22232-54-8	Ethyl 3-methyl-2-sulfanylidene-2,3-dihydro-1H-imidazole-1-carboxylate	InChI=1S/C7H10N2O2S/c1-3-11-7(10)9-5-4-8(2)6(9)12/h4-5H,3H2,1-2H3	46	CCOC(=O)N1C=CN(C)C1=S
amphotericin B	Approved Name	DTXSID9022601	Amphotericin B	1397-89-3	(1R,3S,5R,6R,9R,11R,15S,16R,17R,18S,19E,21E,23E,25E,27E,29E,31E,33R,35S,36R,37S)-33-[(3-Amino-3,6-dideoxy-beta-D-mannopyranosyl)oxy]-1,3,5,6,9,11,17,37-octahydroxy-15,16,18-trimethyl-13-oxo-14,39-dioxabicyclo[33.3.1]nonatriaconta-19,21,23,25,27,29,31-heptaene-36-carboxylic acid	InChI=1S/C47H73NO17/c1-27-17-15-13-11-9-7-5-6-8-10-12-14-16-18-34(64-46-44(58)41(48)43(57)30(4)63-46)24-38-40(45(59)60)37(54)26-47(61,65-38)25-33(51)22-36(53)35(52)20-19-31(49)21-32(50)23-39(55)62-29(3)28(2)42(27)56/h5-18,27-38,40-44,46,49-54,56-58,61H,19-26,48H2,1-4H3,(H,59,60)/b6-5+,9-7+,10-8+,13-11+,14-12+,17-15+,18-16+/t27-,28-,29-,30+,31+,32+,33-,34-,35+,36+,37-,38-,40+,41-,42+,43+,44-,46-,47+/m0/s1	51	[H]C12CC(OC3OC(C)C(O)C(N)C3O)\C=C/C=C\C=C/C=C\C=C/C=C\C=C/C(C)C(O)C(C)C(C)OC(=O)CC(O)CC(O)CCC(O)C(O)CC(O)CC(O)(CC(O)C1C(O)=O)O2
niridazole	Approved Name	DTXSID6045244	Niridazole	61-57-4	1-(5-Nitro-1,3-thiazol-2-yl)imidazolidin-2-one	InChI=1S/C6H6N4O3S/c11-5-7-1-2-9(5)6-8-3-4(14-6)10(12)13/h3H,1-2H2,(H,7,11)	39	[O-][N+](=O)C1=CN=C(S1)N1CCNC1=O
menadione	Approved Name	DTXSID4021715	Menadione	58-27-5	2-Methylnaphthalene-1,4-dione	InChI=1S/C11H8O2/c1-7-6-10(12)8-4-2-3-5-9(8)11(7)13/h2-6H,1H3	62	CC1=CC(=O)C2=C(C=CC=C2)C1=O
epiandrosterone	Approved Name	DTXSID20289698	Epiandrosterone	481-29-8	(3beta,5beta)-3-Hydroxyandrostan-17-one	InChI=1S/C19H30O2/c1-18-9-7-13(20)11-12(18)3-4-14-15-5-6-17(21)19(15,2)10-8-16(14)18/h12-16,20H,3-11H2,1-2H3/t12-,13-,14-,15-,16-,18-,19-/m0/s1	19	CC12CCC3C(CCC4CC(O)CCC34C)C1CCC2=O
cisapride	Approved Name	DTXSID3022825	Cisapride	81098-60-4	4-Amino-5-chloro-N-{1-[3-(4-fluorophenoxy)propyl]-3-methoxypiperidin-4-yl}-2-methoxybenzamide	InChI=1S/C23H29ClFN3O4/c1-30-21-13-19(26)18(24)12-17(21)23(29)27-20-8-10-28(14-22(20)31-2)9-3-11-32-16-6-4-15(25)5-7-16/h4-7,12-13,20,22H,3,8-11,14,26H2,1-2H3,(H,27,29)	36	COC1CN(CCCOC2=CC=C(F)C=C2)CCC1NC(=O)C1=CC(Cl)=C(N)C=C1OC
ergocalciferol	Approved Name	DTXSID5020233	Ergocalciferol	50-14-6	(3S,5Z,7E,22E)-9,10-Secoergosta-5,7,10,22-tetraen-3-ol	InChI=1S/C28H44O/c1-19(2)20(3)9-10-22(5)26-15-16-27-23(8-7-17-28(26,27)6)12-13-24-18-25(29)14-11-21(24)4/h9-10,12-13,19-20,22,25-27,29H,4,7-8,11,14-18H2,1-3,5-6H3/b10-9+,23-12+,24-13-/t20-,22+,25-,26+,27-,28+/m0/s1	62	CC(C)C(C)\C=C\C(C)C1CCC2\C(CCCC12C)=C\C=C1\CC(O)CCC1=C
dicloxacillin	Approved Name	DTXSID1022924	Dicloxacillin	3116-76-5	(2S,5R,6R)-6-{[3-(2,6-Dichlorophenyl)-5-methyl-1,2-oxazole-4-carbonyl]amino}-3,3-dimethyl-7-oxo-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylic acid	InChI=1S/C19H17Cl2N3O5S/c1-7-10(12(23-29-7)11-8(20)5-4-6-9(11)21)15(25)22-13-16(26)24-14(18(27)28)19(2,3)30-17(13)24/h4-6,13-14,17H,1-3H3,(H,22,25)(H,27,28)/t13-,14+,17-/m1/s1	33	CC1=C(C(=O)NC2C3SC(C)(C)C(N3C2=O)C(O)=O)C(=NO1)C1=C(Cl)C=CC=C1Cl
dinoprost	Approved Name	DTXSID9022946	Dinoprost	551-11-1	(5Z,9alpha,11alpha,13E,15S)-9,11,15-Trihydroxyprosta-5,13-dien-1-oic acid	InChI=1S/C20H34O5/c1-2-3-6-9-15(21)12-13-17-16(18(22)14-19(17)23)10-7-4-5-8-11-20(24)25/h4,7,12-13,15-19,21-23H,2-3,5-6,8-11,14H2,1H3,(H,24,25)/b7-4-,13-12+/t15-,16+,17+,18-,19+/m0/s1	40	CCCCCC(O)\C=C\C1C(O)CC(O)C1C\C=C\CCCC(O)=O
puromycin	Approved Name	DTXSID8036788	Puromycin	53-79-2	3'-Deoxy-N,N-dimethyl-3'-[(O-methyl-L-tyrosyl)amino]adenosine	InChI=1S/C22H29N7O5/c1-28(2)19-17-20(25-10-24-19)29(11-26-17)22-18(31)16(15(9-30)34-22)27-21(32)14(23)8-12-4-6-13(33-3)7-5-12/h4-7,10-11,14-16,18,22,30-31H,8-9,23H2,1-3H3,(H,27,32)/t14-,15+,16+,18+,22+/m0/s1	32	COC1=CC=C(CC(N)C(=O)NC2C(CO)OC(C2O)N2C=NC3=C(N=CN=C23)N(C)C)C=C1
ceforanide	Approved Name	DTXSID1022760	Ceforanide	60925-61-3	(6R,7R)-7-{2-[2-(Aminomethyl)phenyl]acetamido}-3-({[1-(carboxymethyl)-1H-tetrazol-5-yl]sulfanyl}methyl)-8-oxo-5-thia-1-azabicyclo[4.2.0]oct-2-ene-2-carboxylic acid	InChI=1S/C20H21N7O6S2/c21-6-11-4-2-1-3-10(11)5-13(28)22-15-17(31)27-16(19(32)33)12(8-34-18(15)27)9-35-20-23-24-25-26(20)7-14(29)30/h1-4,15,18H,5-9,21H2,(H,22,28)(H,29,30)(H,32,33)/t15-,18-/m1/s1	29	NCC1=C(CC(=O)NC2C3SCC(CSC4=NN=NN4CC(O)=O)=C(N3C2=O)C(O)=O)C=CC=C1
serotonin	Approved Name	DTXSID8075330	Serotonin	50-67-9	3-(2-Aminoethyl)-1H-indol-5-ol	InChI=1S/C10H12N2O/c11-4-3-7-6-12-10-2-1-8(13)5-9(7)10/h1-2,5-6,12-13H,3-4,11H2	32	NCCC1=CNC2=CC=C(O)C=C12
metixene	Approved Name	DTXSID1047867	Metixene	4969-02-2	1-Methyl-3-[(9H-thioxanthen-9-yl)methyl]piperidine	InChI=1S/C20H23NS/c1-21-12-6-7-15(14-21)13-18-16-8-2-4-10-19(16)22-20-11-5-3-9-17(18)20/h2-5,8-11,15,18H,6-7,12-14H2,1H3	18	CN1CCCC(CC2C3=C(SC4=C2C=CC=C4)C=CC=C3)C1
fluoxetine	Approved Name	DTXSID7023067	Fluoxetine	54910-89-3	N-Methyl-3-phenyl-3-[4-(trifluoromethyl)phenoxy]propan-1-amine	InChI=1S/C17H18F3NO/c1-21-12-11-16(13-5-3-2-4-6-13)22-15-9-7-14(8-10-15)17(18,19)20/h2-10,16,21H,11-12H2,1H3	54	CNCCC(OC1=CC=C(C=C1)C(F)(F)F)C1=CC=CC=C1
glycocholic acid	Approved Name	DTXSID2047436	Glycocholic acid	475-31-0	N-[(3alpha,5beta,7alpha,12alpha)-3,7,12-Trihydroxy-24-oxocholan-24-yl]glycine	InChI=1S/C26H43NO6/c1-14(4-7-22(31)27-13-23(32)33)17-5-6-18-24-19(12-21(30)26(17,18)3)25(2)9-8-16(28)10-15(25)11-20(24)29/h14-21,24,28-30H,4-13H2,1-3H3,(H,27,31)(H,32,33)/t14-,15+,16-,17-,18+,19+,20-,21+,24+,25+,26-/m1/s1	39	CC(CCC(=O)NCC(O)=O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CC(O)C12C
vigabatrin	Approved Name	DTXSID4041153	Vigabatrin	60643-86-9	4-Aminohex-5-enoic acid	InChI=1S/C6H11NO2/c1-2-5(7)3-4-6(8)9/h2,5H,1,3-4,7H2,(H,8,9)	37	NC(CCC(O)=O)C=C
ciclopirox	Approved Name	DTXSID9048564	Ciclopirox	29342-05-0	6-Cyclohexyl-1-hydroxy-4-methylpyridin-2(1H)-one	InChI=1S/C12H17NO2/c1-9-7-11(13(15)12(14)8-9)10-5-3-2-4-6-10/h7-8,10,15H,2-6H2,1H3	24	CC1=CC(=O)N(O)C(=C1)C1CCCCC1
hexetidine	Approved Name	DTXSID1045297	Hexetidine	141-94-6	1,3-Bis(2-ethylhexyl)-5-methyl-1,3-diazinan-5-amine	InChI=1S/C21H45N3/c1-6-10-12-19(8-3)14-23-16-21(5,22)17-24(18-23)15-20(9-4)13-11-7-2/h19-20H,6-18,22H2,1-5H3	36	CCCCC(CC)CN1CN(CC(CC)CCCC)CC(C)(N)C1
cefotiam	Approved Name	DTXSID6022763	Cefotiam	61622-34-2	(6R,7R)-7-[2-(2-Amino-1,3-thiazol-4-yl)acetamido]-3-[({1-[2-(dimethylamino)ethyl]-1H-tetrazol-5-yl}sulfanyl)methyl]-8-oxo-5-thia-1-azabicyclo[4.2.0]oct-2-ene-2-carboxylic acid	InChI=1S/C18H23N9O4S3/c1-25(2)3-4-26-18(22-23-24-26)34-7-9-6-32-15-12(14(29)27(15)13(9)16(30)31)21-11(28)5-10-8-33-17(19)20-10/h8,12,15H,3-7H2,1-2H3,(H2,19,20)(H,21,28)(H,30,31)/t12-,15-/m1/s1	22	CN(C)CCN1N=NN=C1SCC1=C(N2C(SC1)C(NC(=O)CC1=CSC(N)=N1)C2=O)C(O)=O
pirenperone	Approved Name	DTXSID9045182	Pirenperone	75444-65-4	3-{2-[4-(4-Fluorobenzoyl)piperidin-1-yl]ethyl}-2-methyl-4H-pyrido[1,2-a]pyrimidin-4-one	InChI=1S/C23H24FN3O2/c1-16-20(23(29)27-12-3-2-4-21(27)25-16)11-15-26-13-9-18(10-14-26)22(28)17-5-7-19(24)8-6-17/h2-8,12,18H,9-11,13-15H2,1H3	25	CC1=C(CCN2CCC(CC2)C(=O)C2=CC=C(F)C=C2)C(=O)N2C=CC=CC2=N1
nitrofural	Synonym from Valid Source	DTXSID5020944	Nitrofurazone	59-87-0	(2E)-2-[(5-Nitrofuran-2-yl)methylidene]hydrazine-1-carboxamide	InChI=1S/C6H6N4O4/c7-6(11)9-8-3-4-1-2-5(14-4)10(12)13/h1-3H,(H3,7,9,11)/b8-3+	67	NC(=O)N\N=C\C1=CC=C(O1)[N+]([O-])=O
biperiden	Approved Name	DTXSID6022680	Biperiden	514-65-8	1-(Bicyclo[2.2.1]hept-5-en-2-yl)-1-phenyl-3-(piperidin-1-yl)propan-1-ol	InChI=1S/C21H29NO/c23-21(19-7-3-1-4-8-19,11-14-22-12-5-2-6-13-22)20-16-17-9-10-18(20)15-17/h1,3-4,7-10,17-18,20,23H,2,5-6,11-16H2	36	OC(CCN1CCCCC1)(C1CC2CC1C=C2)C1=CC=CC=C1
thiostrepton	Approved Name	DTXSID5040625	Thiostrepton	1393-48-2	N-{3-[(3-Amino-3-oxoprop-1-en-2-yl)amino]-3-oxoprop-1-en-2-yl}-2-[(11E)-37-(butan-2-yl)-18-(2,3-dihydroxybutan-2-yl)-11-ethylidene-59-hydroxy-8,31-bis(1-hydroxyethyl)-26,40,46-trimethyl-43-methylidene-6,9,16,23,28,38,41,44,47-nonaoxo-27-oxa-3,13,20,56-tetrathia-7,10,17,24,36,39,42,45,48,52,58,61,62,63,64-pentadecaazanonacyclo[23.23.9.3~29,35~.1~2,5~.1~12,15~.1~19,22~.1~54,57~.0~1,53~.0~32,60~]tetrahexaconta-2(64),4,12(63),19(62),21,29,31,33,51,54,57,60-dodecaen-51-yl]-1,3-thiazole-4-carboxamide (non-preferred name)	InChI=1S/C72H85N19O18S5/c1-14-26(3)47-63(105)78-30(7)57(99)75-28(5)56(98)76-31(8)58(100)91-72-19-18-40(66-85-43(22-111-66)59(101)77-29(6)55(97)74-27(4)54(73)96)81-52(72)42-21-112-67(83-42)49(34(11)109-69(107)41-20-37(32(9)92)36-16-17-39(79-47)51(95)50(36)80-41)89-60(102)44-24-113-68(86-44)53(71(13,108)35(12)94)90-62(104)45-23-110-65(84-45)38(15-2)82-64(106)48(33(10)93)88-61(103)46-25-114-70(72)87-46/h15-17,20-22,24-26,30-35,39,45,47-49,51-53,79,92-95,108H,4-6,14,18-19,23H2,1-3,7-13H3,(H2,73,96)(H,74,97)(H,75,99)(H,76,98)(H,77,101)(H,78,105)(H,82,106)(H,88,103)(H,89,102)(H,90,104)(H,91,100)/b38-15+	25	CCC(C)C1NC2C=CC3=C(N=C(C=C3C(C)O)C(=O)OC(C)C3NC(=O)C4=CSC(=N4)C(NC(=O)C4CSC(=N4)\C(NC(=O)C(NC(=O)C4=CSC(=N4)C4(CCC(=NC4C4=CSC3=N4)C3=NC(=CS3)C(=O)NC(=C)C(=O)NC(=C)C(N)=O)NC(=O)C(C)NC(=O)C(=C)NC(=O)C(C)NC1=O)C(C)O)=C/C)C(C)(O)C(C)O)C2O
iohexol	Approved Name	DTXSID6023157	Iohexol	66108-95-0	5-[Acetyl(2,3-dihydroxypropyl)amino]-N~1~,N~3~-bis(2,3-dihydroxypropyl)-2,4,6-triiodobenzene-1,3-dicarboxamide	InChI=1S/C19H26I3N3O9/c1-8(29)25(4-11(32)7-28)17-15(21)12(18(33)23-2-9(30)5-26)14(20)13(16(17)22)19(34)24-3-10(31)6-27/h9-11,26-28,30-32H,2-7H2,1H3,(H,23,33)(H,24,34)	48	CC(=O)N(CC(O)CO)C1=C(I)C(C(=O)NCC(O)CO)=C(I)C(C(=O)NCC(O)CO)=C1I
salsolidin	NO_MATCH	-	-	-	-	-	-	-
probenecid	Approved Name	DTXSID9021188	Probenecid	57-66-9	4-(Dipropylsulfamoyl)benzoic acid	InChI=1S/C13H19NO4S/c1-3-9-14(10-4-2)19(17,18)12-7-5-11(6-8-12)13(15)16/h5-8H,3-4,9-10H2,1-2H3,(H,15,16)	61	CCCN(CCC)S(=O)(=O)C1=CC=C(C=C1)C(O)=O
selegiline	Approved Name	DTXSID6023575	Selegiline	14611-51-9	N-Methyl-N-[(2R)-1-phenylpropan-2-yl]prop-2-yn-1-amine	InChI=1S/C13H17N/c1-4-10-14(3)12(2)11-13-8-6-5-7-9-13/h1,5-9,12H,10-11H2,2-3H3/t12-/m1/s1	27	CC(CC1=CC=CC=C1)N(C)CC#C
6-azathymine	Approved Name	DTXSID70239325	6-Azathymine	932-53-6	6-Methyl-1,2,4-triazine-3,5(2H,4H)-dione	InChI=1S/C4H5N3O2/c1-2-3(8)5-4(9)7-6-2/h1H3,(H2,5,7,8,9)	20	CC1N=NC(=O)NC1=O
omeprazole	Approved Name	DTXSID6021080	Omeprazole	73590-58-6	5-Methoxy-2-[(4-methoxy-3,5-dimethylpyridin-2-yl)methanesulfinyl]-1H-benzimidazole	InChI=1S/C17H19N3O3S/c1-10-8-18-15(11(2)16(10)23-4)9-24(21)17-19-13-6-5-12(22-3)7-14(13)20-17/h5-8H,9H2,1-4H3,(H,19,20)	69	COC1=CC2=C(NC(=N2)S(=O)CC2=C(C)C(OC)=C(C)C=N2)C=C1
cetirizine	Approved Name	DTXSID4022787	Cetirizine	83881-51-0	(2-{4-[(4-Chlorophenyl)(phenyl)methyl]piperazin-1-yl}ethoxy)acetic acid	InChI=1S/C21H25ClN2O3/c22-19-8-6-18(7-9-19)21(17-4-2-1-3-5-17)24-12-10-23(11-13-24)14-15-27-16-20(25)26/h1-9,21H,10-16H2,(H,25,26)	33	OC(=O)COCCN1CCN(CC1)C(C1=CC=CC=C1)C1=CC=C(Cl)C=C1
norcyclobenzaprine	NO_MATCH	-	-	-	-	-	-	-
L-methionine sulfoximine	NO_MATCH	-	-	-	-	-	-	-
phenacetin	Approved Name	DTXSID1021116	Phenacetin	62-44-2	N-(4-Ethoxyphenyl)acetamide	InChI=1S/C10H13NO2/c1-3-13-10-6-4-9(5-7-10)11-8(2)12/h4-7H,3H2,1-2H3,(H,11,12)	88	CCOC1=CC=C(NC(C)=O)C=C1
betahistine	Approved Name	DTXSID3022665	Betahistine	5638-76-6	N-Methyl-2-(pyridin-2-yl)ethan-1-amine	InChI=1S/C8H12N2/c1-9-7-5-8-4-2-3-6-10-8/h2-4,6,9H,5,7H2,1H3	34	CNCCC1=NC=CC=C1
benperidol	Approved Name	DTXSID7045364	Benperidol	2062-84-2	1-{1-[4-(4-Fluorophenyl)-4-oxobutyl]piperidin-4-yl}-1,3-dihydro-2H-benzimidazol-2-one	InChI=1S/C22H24FN3O2/c23-17-9-7-16(8-10-17)21(27)6-3-13-25-14-11-18(12-15-25)26-20-5-2-1-4-19(20)24-22(26)28/h1-2,4-5,7-10,18H,3,6,11-15H2,(H,24,28)	33	FC1=CC=C(C=C1)C(=O)CCCN1CCC(CC1)N1C(=O)NC2=C1C=CC=C2
propylthiouracil	Synonym from Valid Source	DTXSID5021209	6-Propyl-2-thiouracil	51-52-5	6-Propyl-2-sulfanylidene-2,3-dihydropyrimidin-4(1H)-one	InChI=1S/C7H10N2OS/c1-2-3-5-4-6(10)9-7(11)8-5/h4H,2-3H2,1H3,(H2,8,9,10,11)	92	CCCC1=CC(=O)NC(=S)N1
etifenin	Approved Name	DTXSID2045492	Etifenin	63245-28-3	2,2'-{[2-(2,6-Diethylanilino)-2-oxoethyl]azanediyl}diacetic acid	InChI=1S/C16H22N2O5/c1-3-11-6-5-7-12(4-2)16(11)17-13(19)8-18(9-14(20)21)10-15(22)23/h5-7H,3-4,8-10H2,1-2H3,(H,17,19)(H,20,21)(H,22,23)	19	CCC1=CC=CC(CC)=C1NC(=O)CN(CC(O)=O)CC(O)=O
pyrazinamide	Approved Name	DTXSID9021215	Pyrazinamide	98-96-4	Pyrazine-2-carboxamide	InChI=1S/C5H5N3O/c6-5(9)4-3-7-1-2-8-4/h1-3H,(H2,6,9)	60	NC(=O)C1=NC=CN=C1
tiabendazole	Synonym from Valid Source	DTXSID0021337	Thiabendazole	148-79-8	2-(1,3-Thiazol-4-yl)-1H-benzimidazole	InChI=1S/C10H7N3S/c1-2-4-8-7(3-1)12-10(13-8)9-5-14-6-11-9/h1-6H,(H,12,13)	104	N1C2=C(C=CC=C2)N=C1C1=CSC=N1
atovaquone	Approved Name	DTXSID7022629	Atovaquone	95233-18-4	2-[(1r,4r)-4-(4-Chlorophenyl)cyclohexyl]-3-hydroxynaphthalene-1,4-dione	InChI=1S/C22H19ClO3/c23-16-11-9-14(10-12-16)13-5-7-15(8-6-13)19-20(24)17-3-1-2-4-18(17)21(25)22(19)26/h1-4,9-13,15,26H,5-8H2/t13-,15-	34	OC1=C(C2CCC(CC2)C2=CC=C(Cl)C=C2)C(=O)C2=C(C=CC=C2)C1=O
tobramycin	Approved Name	DTXSID8023680	Tobramycin	32986-56-4	(1S,2S,3R,4S,6R)-4,6-Diamino-3-[(2,6-diamino-2,3,6-trideoxy-alpha-D-ribo-hexopyranosyl)oxy]-2-hydroxycyclohexyl 3-amino-3-deoxy-alpha-D-glucopyranoside	InChI=1S/C18H37N5O9/c19-3-9-8(25)2-7(22)17(29-9)31-15-5(20)1-6(21)16(14(15)28)32-18-13(27)11(23)12(26)10(4-24)30-18/h5-18,24-28H,1-4,19-23H2/t5-,6+,7+,8-,9+,10+,11-,12+,13+,14-,15+,16-,17+,18+/m0/s1	47	NCC1OC(OC2C(N)CC(N)C(OC3OC(CO)C(O)C(N)C3O)C2O)C(N)CC1O
tolazamide	Approved Name	DTXSID3021358	Tolazamide	1156-19-0	N-[(Azepan-1-yl)carbamoyl]-4-methylbenzene-1-sulfonamide	InChI=1S/C14H21N3O3S/c1-12-6-8-13(9-7-12)21(19,20)16-14(18)15-17-10-4-2-3-5-11-17/h6-9H,2-5,10-11H2,1H3,(H2,15,16,18)	59	CC1=CC=C(C=C1)S(=O)(=O)NC(=O)NN1CCCCCC1
cefaclor	Approved Name	DTXSID3022748	Cefaclor	53994-73-3	(6R,7R)-7-{[(2R)-2-Amino-2-phenylacetyl]amino}-3-chloro-8-oxo-5-thia-1-azabicyclo[4.2.0]oct-2-ene-2-carboxylic acid	InChI=1S/C15H14ClN3O4S/c16-8-6-24-14-10(13(21)19(14)11(8)15(22)23)18-12(20)9(17)7-4-2-1-3-5-7/h1-5,9-10,14H,6,17H2,(H,18,20)(H,22,23)/t9-,10-,14-/m1/s1	44	NC(C(=O)NC1C2SCC(Cl)=C(N2C1=O)C(O)=O)C1=CC=CC=C1
orciprenaline	Synonym from Valid Source	DTXSID8048529	Metaproterenol	586-06-1	5-{1-Hydroxy-2-[(propan-2-yl)amino]ethyl}benzene-1,3-diol	InChI=1S/C11H17NO3/c1-7(2)12-6-11(15)8-3-9(13)5-10(14)4-8/h3-5,7,11-15H,6H2,1-2H3	24	CC(C)NCC(O)C1=CC(O)=CC(O)=C1
